layer,score_diff
0,1.564453125
1,3.453125
2,1.2099609375
3,1.3046875
4,1.021484375
5,1.421875
6,0.919921875
7,1.28515625
8,0.43359375
9,-2.25390625
10,-2.41015625
11,-1.64453125
12,-0.63671875
13,-0.7080078125
14,0.138671875
15,0.390625
16,0.8125
17,0.40625
18,1.5625
19,1.46875
20,0.6875
21,0.84375
22,-0.15625
23,-1.0625
24,4.25
25,6.5
26,8.375
27,7.875
28,5.5625
29,2.4375
30,1.9375
31,3.875
