layer,ecs_auroc,ecs_copy_auroc,pks_auroc
0,0.622849628337313,,0.5265560364279576
1,0.6603670045837533,,0.49580048483004147
2,0.6442252315651331,,0.45367302155972106
3,0.6253495756008072,0.6157264410466381,0.4310261849719978
4,0.6609531388595428,0.6436125422972714,0.435351181902906
5,0.671242828267459,0.646532509030046,0.44234459934952547
6,0.6693631695158788,0.6853838595168644,0.519149512317
7,0.685847425507524,0.6868858782011491,0.536641730656509
8,0.6776422303565162,0.6805601256685001,0.577716680470375
9,0.6884701779381582,0.6871531087737984,0.6172004090969608
10,0.685451979520945,0.6878279648722998,0.6317894672229647
11,0.6884445151440226,0.6978164458361502,0.6172849967234204
12,0.6781973175273668,0.6800446704141285,0.6338963891919557
13,0.6799582707267436,0.6891058482191488,0.6207038300535838
14,0.6716173819523574,0.6699719338044461,0.6340912428006024
15,0.6849883288060628,0.6813451647540317,0.6358371721475169
16,0.6847070876134916,0.6749002398214221,0.5838270329058506
17,0.6940171730812125,0.6817629018564979,0.5200466000515263
18,0.682398717379013,0.6265142397211363,0.49533700010547305
19,0.6946723178299532,0.6882989208900538,0.5126796940245216
20,0.6875921617990584,0.6853606416217254,0.4726838299498398
21,0.6828195045534946,0.6754150380308015,0.46045842547812993
22,0.680173656991391,0.669605645053921,0.4863988989309186
23,0.6795205732890464,0.6858357335647977,0.4826339982743924
24,0.6815652679100954,0.6797640689758916,0.47214896766128295
25,0.6906831314072693,0.6767924429451523,0.5358816143249641
26,0.6944127764127764,0.6939643449347883,0.515088669950739
27,0.6859831727319412,0.690898178775026,0.5150673695895371
28,0.6852327357105682,0.6870747544294342,0.5371114071655944
29,0.6950172785542243,0.6906874748204798,0.5399026207449853
30,0.6963946229512732,0.689183357050352,0.5777207887306409
31,0.6871897390321036,0.6869314598329377,0.630317150430451
