layer,ecs_auroc,ecs_copy_auroc,pks_auroc,ecs_cohens_d,ecs_copy_cohens_d,pks_cohens_d
0,0.5539352210738739,,0.5236605258538736,0.19088153566471602,,0.0009360767589042193
1,0.575701354339813,,0.5124301849827976,0.281783806683008,,-0.008101564130908507
2,0.5655752135567783,,0.4794188593955377,0.23843766138332567,,-0.08059048609872162
3,0.5578049698489479,0.553953811575001,0.45951144701769386,0.2024370358747636,0.18388876399095044,-0.09667720607941975
4,0.5759298789728019,0.5656169096393429,0.46443295937993034,0.2829703076481024,0.2359811343702429,-0.10445481432071148
5,0.5845306537460461,0.564544627235504,0.48306259120296546,0.31722227494597366,0.23358421999232656,-0.023296251236112446
6,0.5803045834696676,0.590891044386519,0.53127603827254,0.30034337224864927,0.3509243246136227,0.09301450116256005
7,0.5943830528205007,0.5915943814494539,0.5650989516834373,0.36132940154260995,0.35275740665354827,0.20727986073256308
8,0.5846839035244832,0.5871944078951686,0.5685996738803668,0.32001636986863463,0.33329254821582865,0.16186175234077793
9,0.5923341812064118,0.5909395964646118,0.6158016831013665,0.35608597404235715,0.3508572287637138,0.22306300481152078
10,0.5881993574536192,0.5902304103203654,0.6362709407853503,0.3398789763149682,0.3475100170917894,0.4004490144599328
11,0.5923221858865149,0.6031552916166165,0.6132083039185043,0.35735726108214455,0.407214836356922,0.313003520127177
12,0.5870594450471178,0.587968485491946,0.6120947722369234,0.33383751415412843,0.33781377402730994,0.3074981462554327
13,0.5842532520860024,0.5899049995890465,0.6090171293125372,0.32337476822955846,0.3511898229900132,0.29520436724269217
14,0.5781012028999146,0.5782654752891857,0.6033246242308378,0.2945924926923047,0.29209803034925486,0.21603193538652768
15,0.5851559624395428,0.5829693979785601,0.6422466773680056,0.332621610067609,0.3244458272716417,0.301381712619942
16,0.5858908473434543,0.5781292190587543,0.6192899952409087,0.33286745318411665,0.29712599346327917,0.22499341974774428
17,0.5942985511256932,0.5846832899695358,0.5721958241809427,0.3747741326121299,0.3286793507041238,0.21408805564553623
18,0.5851497948227361,0.5483686016475178,0.5553589657093461,0.32926150649514435,0.18029846940009592,0.11181755429687304
19,0.5936613433142945,0.5897329733189581,0.5472866926306874,0.37210917332378807,0.35772129185576,0.22807402242293592
20,0.5889151430547399,0.58873751996635,0.5251489075410447,0.3442605517611512,0.349006148223769,0.07125033575773816
21,0.5858019118055766,0.5825214280431117,0.5008193566692095,0.33072847784453685,0.3152930630074392,0.0516559582836565
22,0.5832988171263478,0.5736308137607489,0.5214405515088507,0.3203438368445953,0.2809346985200849,0.015272385616416901
23,0.5836598674901745,0.590756866119185,0.5341933915702587,0.3218992232788649,0.3560289411887607,0.15108598699577583
24,0.5856874848767791,0.5825140311785878,0.5238353526709348,0.33339206423705614,0.324080100517927,0.007886867825482506
25,0.5923880008782003,0.5789387588488039,0.5601163852593694,0.36737837926606426,0.30490806285000754,0.13638475350746862
26,0.5967895329048086,0.5971724168459135,0.5609486479606974,0.38167951177132686,0.3761011625858527,0.03791263480039437
27,0.5885141090038641,0.5936332052995943,0.5354210957798053,0.3450411855059574,0.3485022514307612,-0.04122924502623754
28,0.589662970333746,0.5917480630679587,0.5511182085950257,0.3422394545185146,0.3478893595013729,0.03416914771634795
29,0.5991454299800127,0.5930475061742762,0.5628216601896429,0.3949356576339175,0.3611473416388726,0.1510202439372379
30,0.5996990168793156,0.5940485221400319,0.5917133619393601,0.38669456473079283,0.35178878010236225,0.24185756997815694
31,0.5872161046518313,0.5862926702506912,0.6175602470232933,0.332520212534315,0.3283642408847616,0.2890904631609497
