layer,ecs_auroc,ecs_copy_auroc,pks_auroc
0,0.5933230195372159,,0.5027842465999154
1,0.6194872613589283,,0.5279233273831685
2,0.6082735061405754,,0.45037290179623757
3,0.5976597435874949,0.5930269662849685,0.42899159323302294
4,0.6182874554103049,0.6066674997960362,0.4288185694039285
5,0.6250052286508273,0.6054806027019967,0.44569197041341013
6,0.621837397064674,0.6314903966891677,0.5088009487842026
7,0.633402707630588,0.6331178424952317,0.5430775719181986
8,0.6250739850770186,0.6266513567518426,0.5738029977243743
9,0.6325165675814081,0.6309672658554352,0.6253764894346706
10,0.6284616193111682,0.6300016263960896,0.6492853357803685
11,0.6306045622536322,0.6372912625590598,0.620105889812728
12,0.6250144103477059,0.6272662912668111,0.6342643122191511
13,0.6228928470727927,0.6306792382832379,0.6259480400996993
14,0.617599054032758,0.6165419829435697,0.6365643405747822
15,0.6290443248742134,0.6265695585955697,0.6618115022877175
16,0.6278043240875905,0.6182593256674801,0.6145697850154176
17,0.637089384815679,0.6275396759591817,0.5873780302589398
18,0.6278001252218689,0.587934605855398,0.5497004122595186
19,0.6389397757752555,0.6339146636349794,0.5601962013021268
20,0.6327093300656591,0.6321922517108385,0.5238610576730153
21,0.6304266685375537,0.6249175507537894,0.48575603234827414
22,0.6269146960566007,0.6186555205384328,0.5238883569439805
23,0.6278158178181259,0.6338348121047452,0.5097815101619194
24,0.6286237340619163,0.6253799109787317,0.5060192201749651
25,0.6358189821152238,0.6242821135495535,0.5787577589324888
26,0.637829468117986,0.6379832515750398,0.552253176455206
27,0.6314144118359115,0.6325376549228645,0.536287022767685
28,0.6326585251191827,0.633073050165018,0.5576227218163761
29,0.6405929263463144,0.633428518695981,0.5618622740153195
30,0.6406341775445192,0.6350309440458624,0.5961275960882516
31,0.6332979552321187,0.630730441856207,0.6475738395783488
