group,layer,ecs_auroc,ecs_copy_auroc,pks_auroc,n_group,n_faithful_cmp
Causality,0,0.5701268027200805,,0.5146871714967101,705,68931
Causality,1,0.5692769035866991,,0.5382068469950061,705,68931
Causality,2,0.5689847108903537,,0.5104013870999173,705,68931
Causality,3,0.568309403040619,0.5687822368570647,0.5079374883157389,705,68931
Causality,4,0.5702976077115249,0.5710072494120186,0.5107120997037741,705,68931
Causality,5,0.5698522245135463,0.5649245709889148,0.5120181750256784,705,68931
Causality,6,0.5668094448647435,0.5642634926014513,0.5472579785047664,705,68931
Causality,7,0.5680829457271024,0.5683079934698806,0.5553461571346245,705,68931
Causality,8,0.5630430615629506,0.5620256087107768,0.5510497649463627,705,68931
Causality,9,0.5630297272295421,0.5620459188760144,0.5579902340412156,705,68931
Causality,10,0.5589988282042964,0.5588477057590019,0.5727889674030079,705,68931
Causality,11,0.5629082057697538,0.5640964944798843,0.5677373025199113,705,68931
Causality,12,0.5649895964419553,0.5633366123858466,0.5733024009722539,705,68931
Causality,13,0.5581543307106058,0.5624440557321634,0.5648227217864386,705,68931
Causality,14,0.5587393951665717,0.5573308841784533,0.558338562634996,705,68931
Causality,15,0.5581746408758435,0.5579881145406893,0.6004066148582543,705,68931
Causality,16,0.5611625707318995,0.5582068243595636,0.5871211431392334,705,68931
Causality,17,0.558878911803159,0.561809183013829,0.5262655707408508,705,68931
Causality,18,0.5603253165798134,0.557005571714175,0.5523670551011491,705,68931
Causality,19,0.5606918564159802,0.5654676672766918,0.5242033687505987,705,68931
Causality,20,0.5585031943239365,0.5584512459833665,0.5464859041382837,705,68931
Causality,21,0.5595318825866673,0.5582449547913624,0.5147461471132968,705,68931
Causality,22,0.558476875477595,0.5578066297359134,0.5097082486947838,705,68931
Causality,23,0.5581028042123736,0.5562672756012257,0.5330556890532222,705,68931
Causality,24,0.558642350851211,0.555887329409788,0.5108372737008774,705,68931
Causality,25,0.5613235910388753,0.5612621461012868,0.5016464197777797,705,68931
Causality,26,0.5583796459631591,0.5570086069212392,0.5252666583738637,705,68931
Causality,27,0.5582377834716205,0.5561914880241532,0.5088240259994808,705,68931
Causality,28,0.5583327185752923,0.5576368433393821,0.5125339544498759,705,68931
Causality,29,0.5581494538016277,0.5542213402630711,0.49803548023303396,705,68931
Causality,30,0.5587538612721057,0.5578927267281671,0.5295689769325292,705,68931
Causality,31,0.5622341634470323,0.5617935234031441,0.5342543797780719,705,68931
Contextual,0,0.5890731580784282,,0.48037112151077893,484,68931
Contextual,1,0.5904822657128322,,0.4860142961262856,484,68931
Contextual,2,0.5909714661361565,,0.4471280778922412,484,68931
Contextual,3,0.5912476436191851,0.5895895446290703,0.446300924232413,484,68931
Contextual,4,0.5903273767239512,0.5909943960009836,0.4163535466236389,484,68931
Contextual,5,0.5894385222448464,0.5897142351358425,0.44262637592677123,484,68931
Contextual,6,0.5879443193343061,0.5847551797815302,0.441598023943215,484,68931
Contextual,7,0.5845051543338764,0.5841209816835641,0.4951105585163557,484,68931
Contextual,8,0.5837574459115962,0.5841573547436525,0.5086853082571132,484,68931
Contextual,9,0.5775518002131967,0.5742452237840907,0.546180957577532,484,68931
Contextual,10,0.5791279661503641,0.5791910757325777,0.5680199003650914,484,68931
Contextual,11,0.5811525083593595,0.5809323666701796,0.5212687384953525,484,68931
Contextual,12,0.5831308461413863,0.5828849270878257,0.5615503963659432,484,68931
Contextual,13,0.5741399412348028,0.5745151067944216,0.5835738870982613,484,68931
Contextual,14,0.5776527515657951,0.5752794356219917,0.5419259090207708,484,68931
Contextual,15,0.5749219545332853,0.5743709783564857,0.5479356467498759,484,68931
Contextual,16,0.5809786160576674,0.5796389574386939,0.5639172829554912,484,68931
Contextual,17,0.5767092550689389,0.5772048998333583,0.5345529383737553,484,68931
Contextual,18,0.577272745256935,0.5646695923375765,0.5557135917807854,484,68931
Contextual,19,0.5769100637348331,0.5769839938153508,0.5334652984521232,484,68931
Contextual,20,0.5786483123439645,0.5753746470149632,0.5435545438839247,484,68931
Contextual,21,0.577843129391219,0.5758091754468566,0.5268718832618701,484,68931
Contextual,22,0.5781905093499297,0.5721361108383507,0.5070868868629079,484,68931
Contextual,23,0.5785388334795449,0.5759196584295398,0.52299799500063,484,68931
Contextual,24,0.5767438596819361,0.5694836350304071,0.519364165938606,484,68931
Contextual,25,0.5784687700036844,0.5797579529463587,0.5062614117291324,484,68931
Contextual,26,0.5760760311155568,0.5746776990189375,0.5204026789995169,484,68931
Contextual,27,0.5743215217852898,0.5757133346066152,0.5147801712360341,484,68931
Contextual,28,0.578811788792026,0.5797136068875199,0.5149373382245582,484,68931
