layer,ecs_auroc,ecs_copy_auroc,pks_auroc
0,0.6064799482752035,,0.4957649217861345
1,0.6318064687205199,,0.5338106580105085
2,0.6202144032234911,,0.4552876458926057
3,0.6088031172163682,0.604375550309973,0.43333173527428803
4,0.6303534902849811,0.6177386707573369,0.4326426512367827
5,0.6371152475534024,0.6163421693520749,0.45168184289071117
6,0.6336444132660067,0.6421692088809449,0.5166158940908091
7,0.6462081227161418,0.6458634143895039,0.5473293467999047
8,0.636944367610828,0.6383389240594675,0.5733193567810839
9,0.6451021809176325,0.6434725102198733,0.6233774326220798
10,0.6410601607893948,0.6424367503488858,0.6506001955735627
11,0.6436903622742729,0.6501331015561411,0.6200369837166202
12,0.6369030725173187,0.6389091064154433,0.6351614061434291
13,0.6354073106736379,0.6432898365113436,0.6265817176512898
14,0.6302667452196123,0.6295522076193502,0.6334073653353752
15,0.641144211103269,0.6389682612845481,0.6544819794638739
16,0.6404998892558612,0.6309455858189051,0.6141911882663439
17,0.6503708147183132,0.6398152645246993,0.5791893993572556
18,0.6407017250152902,0.6015060515098478,0.545815984508178
19,0.6517819850427987,0.6475171461738294,0.5501233869206279
20,0.6449604922370636,0.6444136324478928,0.5158959839002241
21,0.6433807026297301,0.6376541414767536,0.47986203188051124
22,0.6390782781787232,0.6306244368364006,0.5168970220673312
23,0.6395319717268929,0.6453216735006616,0.5112818420969433
24,0.6415086001359056,0.6385285883367275,0.5002750450542155
25,0.6491005043537488,0.6373034517038068,0.5738553191756126
26,0.6517845726807401,0.6515974171156452,0.5403581656224485
27,0.6440458383317779,0.643741945906438,0.5284398886181408
28,0.6450992550263654,0.6448437271890414,0.5556470129908669
29,0.6546544322844128,0.6461622668402913,0.5555677151362185
30,0.6529195760774801,0.6463466430905602,0.5907978306776914
31,0.6458551497332468,0.6421523244024383,0.6344905652352884
