group,layer,ecs_auroc,ecs_copy_auroc,pks_auroc,n_group,n_faithful_cmp
condition,0,0.5927599281854593,,0.5203976910333845,276,40628
condition,1,0.5968494366703623,,0.5033018297511676,276,40628
condition,2,0.595252542331768,,0.4645270788475999,276,40628
condition,3,0.5957383927412093,0.5990608229777993,0.4492930644675693,276,40628
condition,4,0.5939420482482989,0.5949197686895452,0.4004301845090057,276,40628
condition,5,0.5929401155482119,0.5900548436646106,0.42674618989117236,276,40628
condition,6,0.5911542942469888,0.5873792775882415,0.46660567674467385,276,40628
condition,7,0.5938976814019888,0.5961262793704064,0.42868758498814985,276,40628
condition,8,0.5842562975059679,0.5847087501587397,0.4722926146457145,276,40628
condition,9,0.5835301526897277,0.5850996688940161,0.4822240105702785,276,40628
condition,10,0.5883909754534961,0.5882624230736851,0.5046538815238438,276,40628
condition,11,0.5859140569151282,0.586667089377926,0.5256977678705197,276,40628
condition,12,0.5864287569221198,0.5887670011971469,0.5669000764090733,276,40628
condition,13,0.5781757208921383,0.5814441528866363,0.5728525019512494,276,40628
condition,14,0.5809482251834602,0.5793556114652135,0.5479869134301609,276,40628
condition,15,0.5863658407209706,0.5829825454138147,0.555145314575655,276,40628
condition,16,0.5898691271672424,0.5854420293422257,0.5448600986254928,276,40628
condition,17,0.5939827141416001,0.5895890586630481,0.539438826724769,276,40628
condition,18,0.590138672479749,0.570026668264765,0.49469154028135087,276,40628
condition,19,0.5971519784313809,0.5924901599239762,0.5227056588374119,276,40628
condition,20,0.5957516359104095,0.5928623955350276,0.5717250935672265,276,40628
condition,21,0.5951556932964058,0.5912028971238512,0.49841679472855877,276,40628
condition,22,0.5918841400162378,0.5873540397641094,0.529853313842242,276,40628
condition,23,0.5979458997364565,0.5965666927784508,0.5324240493098926,276,40628
condition,24,0.5966187736593453,0.589813969590473,0.5363121902792819,276,40628
condition,25,0.5985922734089291,0.5975845886252502,0.5409098440712695,276,40628
condition,26,0.5987547140331577,0.6010304880049884,0.558125473543626,276,40628
condition,27,0.598561283501205,0.5961335475070381,0.5785352038217378,276,40628
condition,28,0.6012876819442008,0.6042731916876061,0.5535873917181411,276,40628
condition,29,0.6021850515743409,0.6030706940883206,0.5874619916584978,276,40628
condition,30,0.6069191947297002,0.6094082862821814,0.6025057859718363,276,40628
condition,31,0.602297150319691,0.6032581049979097,0.6650510000242569,276,40628
medication,0,0.6918991400233723,,0.5502480619491377,69,40628
medication,1,0.6968074063293253,,0.6302177194852412,69,40628
medication,2,0.6899264874798989,,0.518976168359652,69,40628
medication,3,0.6809634035497757,0.6787128674020771,0.487510576699442,69,40628
medication,4,0.6832505033296092,0.6781373023245196,0.4363641195548726,69,40628
medication,5,0.68974456111513,0.681259658149659,0.5858275081224771,69,40628
medication,6,0.6779653640738948,0.6682465722932569,0.5442321851282688,69,40628
medication,7,0.6755091797903353,0.6701189869769261,0.5461201170606977,69,40628
medication,8,0.6825727384412549,0.6804349252960405,0.5837713834822276,69,40628
medication,9,0.6701418169521127,0.6687367033230455,0.6391313979221869,69,40628
medication,10,0.6805619170330164,0.6841076975541962,0.6219587976022819,69,40628
medication,11,0.673449666325644,0.6699859310277911,0.5611522288476714,69,40628
medication,12,0.6654812915487712,0.6601476385957854,0.6601465684406984,69,40628
medication,13,0.6926967622814564,0.69396899832057,0.6429618396964755,69,40628
medication,14,0.6940312456747899,0.6899525279203462,0.6819090639282112,69,40628
medication,15,0.6941992600234292,0.6813795155193891,0.6848457478457778,69,40628
medication,16,0.6906679265959222,0.6869129307552584,0.674889024917491,69,40628
medication,17,0.6897063922503649,0.6906604355103142,0.6556076839988985,69,40628
medication,18,0.68672172971307,0.6579038800969703,0.6029967196179404,69,40628
medication,19,0.6884742870270093,0.692509128422891,0.5640791030102749,69,40628
medication,20,0.6949558596698501,0.6838631671168452,0.5326805744021756,69,40628
medication,21,0.6863931921013993,0.6725321866978297,0.51885755950419,69,40628
medication,22,0.6952316029639015,0.6812855202309251,0.6820672685218876,69,40628
medication,23,0.6970940295334266,0.6941293432244201,0.7221427929335519,69,40628
medication,24,0.6985481919373089,0.6775881344057715,0.607428945269415,69,40628
medication,25,0.7008636508269445,0.6903124567478984,0.5321606573891354,69,40628
