split,sample_idx,gen_idx,n_words,n_hallu,n_spans,n_matched,match_rate
aci_test3,2,0,338,19,5,5,1.0
aci_test3,3,0,380,16,2,2,1.0
aci_test3,4,0,389,13,2,2,1.0
aci_test3,5,0,311,17,2,2,1.0
aci_test3,6,0,397,0,0,0,
aci_test3,7,0,367,4,1,1,1.0
aci_test3,8,0,292,12,2,2,1.0
aci_test3,9,0,337,13,1,1,1.0
aci_test3,10,0,336,0,0,0,
aci_test3,11,0,288,11,2,2,1.0
aci_test3,12,0,345,14,2,2,1.0
aci_test3,13,0,379,0,0,0,
aci_test3,14,0,381,5,2,2,1.0
aci_test3,15,0,316,24,5,5,1.0
aci_test3,16,0,274,11,3,3,1.0
aci_test3,17,0,467,9,3,3,1.0
aci_test3,18,0,271,44,6,6,1.0
aci_test3,19,0,375,33,3,3,1.0
aci_test3,20,0,284,17,4,4,1.0
aci_test3,21,0,400,5,2,2,1.0
aci_test3,22,0,304,24,4,4,1.0
aci_test3,23,0,405,13,6,6,1.0
aci_test3,24,0,324,46,5,5,1.0
aci_test3,25,0,296,16,6,6,1.0
virtscribe_test1,0,0,251,0,0,0,
virtscribe_test1,1,0,301,8,2,2,1.0
virtscribe_test1,2,0,295,19,5,5,1.0
virtscribe_test1,3,0,397,27,5,5,1.0
virtscribe_test1,4,0,375,12,3,3,1.0
virtscribe_test1,5,0,361,4,1,1,1.0
virtscribe_test1,6,0,296,15,3,3,1.0
virtscribe_test1,7,0,382,0,0,0,
virtscribe_test1,8,0,288,23,6,6,1.0
virtscribe_test1,9,0,393,6,1,1,1.0
virtscribe_test1,10,0,292,8,4,4,1.0
virtscribe_test1,11,0,287,20,5,5,1.0
virtscribe_test1,12,0,272,15,6,6,1.0
virtscribe_test1,13,0,369,19,4,4,1.0
virtscribe_test1,14,0,307,18,2,2,1.0
virtscribe_test1,15,0,279,14,1,1,1.0
virtscribe_test2,0,0,254,15,4,4,1.0
virtscribe_test2,1,0,261,18,5,5,1.0
virtscribe_test2,2,0,298,5,2,2,1.0
virtscribe_test2,3,0,414,9,1,1,1.0
virtscribe_test2,4,0,285,5,1,1,1.0
virtscribe_test2,5,0,321,0,0,0,
virtscribe_test2,6,0,390,34,9,9,1.0
virtscribe_test2,7,0,303,34,5,5,1.0
virtscribe_test2,8,0,310,1,1,1,1.0
virtscribe_test2,9,0,296,9,2,2,1.0
virtscribe_test2,10,0,244,22,7,7,1.0
virtscribe_test2,11,0,348,13,5,5,1.0
virtscribe_test2,12,0,382,9,1,1,1.0
virtscribe_test2,13,0,354,18,3,3,1.0
virtscribe_test2,14,0,469,4,1,1,1.0
virtscribe_test2,15,0,323,22,4,4,1.0
virtscribe_test3,0,0,464,1,1,1,1.0
virtscribe_test3,1,0,484,11,5,5,1.0
virtscribe_test3,2,0,455,30,5,5,1.0
virtscribe_test3,3,0,312,25,4,4,1.0
virtscribe_test3,4,0,292,12,3,3,1.0
virtscribe_test3,5,0,257,12,5,5,1.0
virtscribe_test3,6,0,268,33,6,6,1.0
virtscribe_test3,7,0,418,27,2,2,1.0
virtscribe_test3,8,0,289,12,4,4,1.0
virtscribe_test3,9,0,386,1,1,1,1.0
virtscribe_test3,10,0,414,20,3,3,1.0
virtscribe_test3,11,0,209,17,4,4,1.0
virtscribe_test3,12,0,368,21,5,5,1.0
virtscribe_test3,13,0,323,12,5,5,1.0
virtscribe_test3,14,0,359,7,4,4,1.0
virtscribe_test3,15,0,288,15,4,4,1.0
