bucket,count
0.0-0.1,4875
0.1-0.2,201
0.2-0.3,1389
0.3-0.4,152
0.4-0.5,1168
0.5-0.6,87
0.6-0.7,97
0.7-0.8,1065
0.8-0.9,99
0.9-1.0,1156
