layer,ecs_auroc,ecs_copy_auroc,pks_auroc,ecs_cohens_d,ecs_copy_cohens_d,pks_cohens_d
0,0.5718835831664075,,0.521088194110537,0.25801113471017173,,-0.007573381784037021
1,0.5945036824846709,,0.5131125531665128,0.35417943169092597,,-0.001642635667642255
2,0.584061885267648,,0.47719379449692995,0.30794568660829463,,-0.0920168738284912
3,0.5745798986507297,0.570805140721372,0.4522785420048349,0.26391903788845117,0.24534873579949665,-0.11520882850554781
4,0.5937331317943277,0.5834851925735461,0.45441602916008134,0.35034508938889936,0.30305111353058234,-0.1391381329435108
5,0.6023034774702967,0.5799388096442164,0.47500547957182243,0.38477004438594525,0.2900593288931523,-0.041088846878354
6,0.5974983617926162,0.6097367343637295,0.5253274174389095,0.36608143537401444,0.42698354621929085,0.07945462494103667
7,0.6121560722849942,0.6093567620910204,0.5852172996398988,0.43067242185406496,0.4225262240156519,0.2736515924338285
8,0.5999741026383124,0.6015856217006378,0.5802431693887926,0.37956308297186986,0.3900685783964407,0.18995228370138534
9,0.6066299713876837,0.6047718427668044,0.6273195561068404,0.4136319436416213,0.40672639491812873,0.24919041188316884
10,0.602367834497693,0.6043058723188053,0.6510383796189504,0.39739350487145125,0.4046009115389906,0.4624659393659808
11,0.60606675940115,0.6170881926540379,0.6301915759454899,0.41197499405652943,0.464097162318523,0.3708863003389127
12,0.6026728334835044,0.6038797168897669,0.6277995231058093,0.39496775593071326,0.40037751533710736,0.35868611792659383
13,0.5972758937052682,0.6033984491562592,0.6216614761694407,0.37571118559362143,0.40782270170361606,0.34725223458293236
14,0.5914414742181366,0.591320742587123,0.6104166867693875,0.3474630573943139,0.3442456743854281,0.25326824625605104
15,0.5999570555310682,0.5974955337570249,0.6497010040153453,0.39454079239184026,0.38546296315931866,0.32455736459180623
16,0.6010210381775297,0.5916913346015799,0.6244894308440815,0.3950563153866037,0.35260920601840284,0.23912623271583644
17,0.6085448063702897,0.5987387608595909,0.5752907166980552,0.43508179698143173,0.3870631962842884,0.2581423400319966
18,0.5991779560006617,0.561168265548577,0.5576643233822691,0.38607876220336496,0.22818540906379225,0.1419862355848543
19,0.6082756554665332,0.6054328424790043,0.5495259854293052,0.4335309062067185,0.42342586127491755,0.2741391559155337
20,0.6037670283699913,0.6050017956407672,0.5199168755781871,0.40415714291699195,0.4153344866621393,0.04348769428759504
21,0.6012365069779351,0.5983163538926058,0.49258433033219684,0.39236558834119833,0.37721126245511327,0.05876356060018347
22,0.5985981358795041,0.5887211790958325,0.5173507771747264,0.3808700477661592,0.3420411754340689,0.007174448976819651
23,0.5987476313431872,0.6053331936712609,0.5254046887575895,0.38130434699355825,0.415592415720786,0.1564777963636301
24,0.6015453515257343,0.5959001090088368,0.5162592282614538,0.39577703289369337,0.3773615258103426,-0.03235663350479701
25,0.6079929105719516,0.5953463399909297,0.5605417970005708,0.4309183024527337,0.36881248412395723,0.1348533898247871
26,0.6117322573689595,0.6135903232794645,0.5645582144147402,0.44299988785814326,0.4431627619349873,0.041069629982432444
27,0.6036587538514032,0.6107838843319687,0.5303378468821829,0.40652886253397413,0.41645560168123447,-0.04997032522441645
28,0.6053226664200329,0.6083461479960384,0.5514622511766135,0.4033117739908963,0.41327567206395954,0.01472285929662157
29,0.6155779811900031,0.6101700428212734,0.5649451070806951,0.46349354569284,0.43227207306347376,0.15817832525974726
30,0.6155152991364761,0.6105336213883806,0.5889483342779337,0.4514902213964944,0.41674150462055665,0.21119099924705256
31,0.6041442150883305,0.6039502357171711,0.6145925523905225,0.40001845813844583,0.4003257966218549,0.28287749695329295
