sample_idx,gen_idx,n_words,n_hallu,n_spans,n_matched,match_rate
39,4,336,16,1,1,1.0
40,0,265,34,8,8,1.0
40,1,284,22,3,3,1.0
40,2,255,18,1,1,1.0
40,3,237,16,3,3,1.0
40,4,259,10,4,4,1.0
41,0,323,18,4,4,1.0
41,1,322,12,3,3,1.0
41,2,363,11,5,5,1.0
41,3,311,0,0,0,
41,4,305,10,4,4,1.0
42,0,355,23,4,4,1.0
42,1,370,28,5,5,1.0
42,2,311,43,4,4,1.0
42,3,357,17,3,3,1.0
42,4,299,12,4,4,1.0
43,0,306,15,7,7,1.0
43,1,317,39,5,5,1.0
43,2,256,28,6,6,1.0
43,3,277,26,8,8,1.0
43,4,272,25,4,4,1.0
