Section,Total Sentences,"Q1 [0,.25)","Q2 [.25,.5)","Q3 [.5,.75)","Q4 [.75,1]",Mean U(s_j)
Subjective,978,52.4%,36.0%,8.5%,3.2%,0.272
Objective,642,65.3%,27.4%,6.5%,0.8%,0.207
Assessment,301,67.8%,28.9%,3.0%,0.3%,0.213
Plan,534,74.7%,21.2%,3.0%,1.1%,0.173
Follow-up,123,71.5%,24.4%,4.1%,0.0%,0.197
All,2578,62.9%,29.4%,6.0%,1.7%,0.225
