layer,score_diff
0,1.53515625
1,3.3671875
2,1.1552734375
3,1.34375
4,1.052734375
5,1.58984375
6,1.056640625
7,1.41015625
8,0.515625
9,-2.10546875
10,-2.419921875
11,-1.67578125
12,-0.76953125
13,-0.771484375
14,-0.056640625
15,0.2265625
16,0.59375
17,0.234375
18,1.46875
19,1.40625
20,0.53125
21,0.71875
22,-0.1875
23,-1.0625
24,4.3125
25,6.4375
26,8.5
27,7.9375
28,5.625
29,2.4375
30,2.125
31,3.875
